# KW court codes. Source: annex 1 to Dz.U. 2016 poz. 312 as replaced by Dz.U. 2026 poz. 740 (in force 2026-07-01),
# plus historical codes from earlier annex versions. Columns: code<TAB>last_valid_on (empty = current)<TAB>name
BB1B		Sąd Rejonowy w Bielsku-Białej
BB1C		Sąd Rejonowy w Cieszynie
BB1Z		Sąd Rejonowy w Żywcu
BI1B		Sąd Rejonowy w Białymstoku
BI1P		Sąd Rejonowy w Bielsku Podlaskim
BI1S		Sąd Rejonowy w Sokółce
BI2P		Sąd Rejonowy w Bielsku Podlaskim – wydział zamiejscowy z siedzibą w Hajnówce
BI3P		Sąd Rejonowy w Bielsku Podlaskim – wydział zamiejscowy z siedzibą w Siemiatyczach
BY1B		Sąd Rejonowy w Bydgoszczy
BY1I		Sąd Rejonowy w Inowrocławiu
BY1M		Sąd Rejonowy w Mogilnie
BY1N		Sąd Rejonowy w Nakle nad Notecią
BY1S		Sąd Rejonowy w Świeciu
BY1T		Sąd Rejonowy w Tucholi
BY1U		Sąd Rejonowy w Szubinie
BY1Z		Sąd Rejonowy w Żninie
BY2T		Sąd Rejonowy w Tucholi – wydział zamiejscowy z siedzibą w Sępólnie Krajeńskim
CZ1C		Sąd Rejonowy w Częstochowie
CZ1L		Sąd Rejonowy w Lublińcu
CZ1M		Sąd Rejonowy w Myszkowie
CZ1Z		Sąd Rejonowy w Zawierciu
CZ2C	2024-03-31	Sąd Rejonowy w Częstochowie – wydział zamiejscowy z siedzibą w Kłobucku
EL1B		Sąd Rejonowy w Braniewie
EL1D		Sąd Rejonowy w Działdowie
EL1E		Sąd Rejonowy w Elblągu
EL1I		Sąd Rejonowy w Iławie
EL1N		Sąd Rejonowy w Nowym Mieście Lubawskim
EL1O		Sąd Rejonowy w Ostródzie
EL2O		Sąd Rejonowy w Ostródzie – wydział zamiejscowy z siedzibą w Morągu
GD1A		Sąd Rejonowy w Starogardzie Gdańskim
GD1E		Sąd Rejonowy w Kościerzynie
GD1G		Sąd Rejonowy Gdańsk-Północ w Gdańsku
GD1I		Sąd Rejonowy w Kwidzynie
GD1M		Sąd Rejonowy w Malborku
GD1R		Sąd Rejonowy w Kartuzach
GD1S		Sąd Rejonowy w Sopocie
GD1T		Sąd Rejonowy w Tczewie
GD1W		Sąd Rejonowy w Wejherowie
GD1Y		Sąd Rejonowy w Gdyni
GD2I		Sąd Rejonowy w Kwidzynie – wydział zamiejscowy z siedzibą w Sztumie
GD2M		Sąd Rejonowy w Malborku – wydział zamiejscowy z siedzibą w Nowym Dworze Gdańskim
GD2W	2023-04-04	Sąd Rejonowy w Wejherowie – wydział zamiejscowy z siedzibą w Pucku
GL1G		Sąd Rejonowy w Gliwicach
GL1J		Sąd Rejonowy w Jastrzębiu-Zdroju
GL1R		Sąd Rejonowy w Raciborzu
GL1S		Sąd Rejonowy w Rudzie Śląskiej
GL1T		Sąd Rejonowy w Tarnowskich Górach
GL1W		Sąd Rejonowy w Wodzisławiu Śląskim
GL1X		Sąd Rejonowy w Żorach
GL1Y		Sąd Rejonowy w Rybniku
GL1Z		Sąd Rejonowy w Zabrzu
GW1G		Sąd Rejonowy w Gorzowie Wielkopolskim
GW1K		Sąd Rejonowy w Strzelcach Krajeńskich
GW1M		Sąd Rejonowy w Międzyrzeczu
GW1S		Sąd Rejonowy w Słubicach
GW1U		Sąd Rejonowy w Sulęcinie
JG1B		Sąd Rejonowy w Bolesławcu
JG1J		Sąd Rejonowy w Jeleniej Górze
JG1K		Sąd Rejonowy w Kamiennej Górze
JG1L		Sąd Rejonowy w Lubaniu
JG1S		Sąd Rejonowy w Lwówku Śląskim
JG1Z		Sąd Rejonowy w Zgorzelcu
KA1B		Sąd Rejonowy w Będzinie
KA1C		Sąd Rejonowy w Chorzowie
KA1D		Sąd Rejonowy w Dąbrowie Górniczej
KA1I		Sąd Rejonowy w Siemianowicach Śląskich
KA1J		Sąd Rejonowy w Jaworznie
KA1K		Sąd Rejonowy Katowice-Wschód w Katowicach
KA1L		Sąd Rejonowy w Mysłowicach
KA1M		Sąd Rejonowy w Mikołowie
KA1P		Sąd Rejonowy w Pszczynie
KA1S		Sąd Rejonowy w Sosnowcu
KA1T		Sąd Rejonowy w Tychach
KA1Y		Sąd Rejonowy w Bytomiu
KI1A		Sąd Rejonowy w Staszowie
KI1B		Sąd Rejonowy w Busku-Zdroju
KI1H		Sąd Rejonowy w Starachowicach
